amfi_code,return_3yr_pct,expense_ratio_pct,return_rank,expense_rank,sharpe_rank,alpha,drawdown_rank,return_score,sharpe_score,alpha_score,expense_score,drawdown_score,fund_score,overall_rank
120843,15.65,1.45,11.0,19.0,2.0,0.27330465038306057,13.0,30.0,39.0,40.72669534961694,22.0,28.0,100.0,1
120505,18.08,1.36,8.0,14.0,5.0,0.2926358334175106,25.0,33.0,36.0,40.70736416658249,27.0,16.0,99.08,2
100033,16.58,1.38,10.0,15.0,7.0,0.2719535450128533,20.0,31.0,34.0,40.728046454987144,26.0,21.0,96.82,3
148567,14.81,1.46,17.0,20.0,1.0,0.2698375144191807,8.0,24.0,40.0,40.73016248558082,21.0,33.0,96.37,4
119598,23.39,1.43,1.0,18.0,14.0,0.3033696538698332,36.0,40.0,27.0,40.69663034613016,23.0,5.0,93.47,5
149323,17.16,1.61,9.0,30.0,6.0,0.26598577542043045,22.0,32.0,35.0,40.73401422457957,11.0,19.0,91.06,6
120504,14.41,0.8,20.0,11.0,10.0,0.2119482701352573,12.0,21.0,31.0,40.78805172986474,30.0,29.0,89.73,7
149324,20.08,1.52,6.0,22.0,13.0,0.3005787817097677,37.0,35.0,28.0,40.69942121829023,19.0,4.0,87.56,8
119094,15.18,1.38,15.0,15.0,11.0,0.2607666908004223,28.0,26.0,30.0,40.73923330919958,26.0,13.0,86.82,9
119599,23.14,0.72,2.0,5.0,32.0,0.048824215945539845,40.0,39.0,9.0,40.95117578405446,36.0,1.0,83.77,10
118632,14.0,1.51,21.0,21.0,8.0,0.21829397904608644,23.0,20.0,33.0,40.78170602095391,20.0,18.0,82.46,11
101206,13.78,1.6,22.0,29.0,9.0,0.21399784776051212,9.0,19.0,32.0,40.78600215223949,12.0,32.0,81.4,12
119551,12.36,1.54,26.0,24.0,4.0,0.23201007160635082,17.0,15.0,37.0,40.767989928393646,17.0,24.0,81.39,13
148569,13.58,1.6,23.0,29.0,3.0,0.2827036785246582,21.0,18.0,38.0,40.717296321475345,12.0,20.0,81.36,14
118634,20.15,1.53,5.0,23.0,26.0,0.1750072167561127,32.0,36.0,15.0,40.824992783243886,18.0,9.0,79.75,15
148568,14.56,1.52,19.0,22.0,15.0,0.20873010086942337,19.0,22.0,26.0,40.791269899130576,19.0,22.0,79.73,16
119552,11.3,0.66,34.0,4.0,12.0,0.1986859936686296,11.0,7.0,29.0,40.80131400633137,37.0,30.0,78.98,17
101207,22.38,1.53,3.0,23.0,28.0,0.10897091901704538,38.0,38.0,13.0,40.89102908098295,18.0,3.0,78.28,18
125498,15.29,0.78,14.0,9.0,27.0,0.11989100971217971,29.0,27.0,14.0,40.88010899028782,32.0,12.0,78.12,19
125497,13.38,0.92,24.0,13.0,18.0,0.17729754927531766,18.0,17.0,23.0,40.822702450724684,28.0,23.0,77.33,20
120506,14.76,1.41,18.0,16.0,20.0,0.1625385327998104,27.0,23.0,21.0,40.83746146720019,25.0,14.0,77.19,21
119095,20.98,1.38,4.0,15.0,33.0,0.048015953637759554,39.0,37.0,8.0,40.95198404636224,26.0,2.0,76.95,22
118633,12.33,0.72,27.0,5.0,21.0,0.15643835948169668,26.0,14.0,20.0,40.8435616405183,36.0,15.0,73.55,23
120842,18.23,1.56,7.0,26.0,30.0,0.0780443887615508,33.0,34.0,11.0,40.92195561123845,15.0,8.0,73.3,24
102887,15.34,1.64,13.0,31.0,22.0,0.16211256794033255,30.0,28.0,19.0,40.83788743205967,10.0,11.0,72.49,25
118635,11.77,0.89,32.0,12.0,19.0,0.1513635464823924,10.0,9.0,22.0,40.84863645351761,29.0,31.0,72.19,26
120507,7.68,0.74,35.0,6.0,23.0,0.06746210411099539,1.0,6.0,18.0,40.932537895889006,35.0,40.0,71.94,27
102885,12.1,1.57,30.0,27.0,16.0,0.17048756803412696,7.0,11.0,25.0,40.829512431965874,14.0,34.0,70.36,28
120503,11.54,1.42,33.0,17.0,17.0,0.17703302365844073,14.0,8.0,24.0,40.82296697634156,24.0,27.0,69.3,29
149322,12.82,1.54,25.0,24.0,25.0,0.13173190226099432,16.0,16.0,16.0,40.868268097739005,17.0,25.0,66.75,30
102886,15.61,1.51,12.0,21.0,36.0,0.028969397866379445,35.0,29.0,5.0,40.971030602133624,20.0,6.0,65.9,31
119093,12.14,0.75,29.0,7.0,29.0,0.08232801295222093,31.0,12.0,12.0,40.91767198704778,34.0,10.0,63.29,32
120844,6.18,0.6,37.0,3.0,34.0,0.06455677495375998,2.0,4.0,7.0,40.93544322504624,38.0,39.0,62.85,33
100016,14.84,1.55,16.0,25.0,35.0,0.03747580763443281,34.0,25.0,6.0,40.962524192365564,16.0,7.0,61.5,34
120841,12.25,1.59,28.0,28.0,24.0,0.13042924450705445,24.0,13.0,17.0,40.869570755492944,13.0,17.0,60.54,35
100025,7.37,0.56,36.0,2.0,39.0,0.042817920315060876,4.0,5.0,2.0,40.95718207968494,39.0,37.0,59.83,36
118636,5.31,0.55,39.0,1.0,38.0,0.05074772999976104,6.0,2.0,3.0,40.94925227000024,40.0,35.0,57.7,37
119120,6.07,0.77,38.0,8.0,37.0,0.05620895216638369,5.0,3.0,4.0,40.943791047833614,33.0,36.0,56.49,38
119092,11.84,1.64,31.0,31.0,31.0,0.0689952982167755,15.0,10.0,10.0,40.93100470178322,10.0,26.0,53.91,39
101208,5.14,0.79,40.0,10.0,40.0,0.060861457957871144,3.0,1.0,1.0,40.93913854204213,31.0,38.0,52.09,40
